Régime prioritaire;Régime particulier;Type de stationnement;Arrondissement;Nombre places calculées;Nombre places réelles;Zones Résidentielles;Localisation stationnement;Numéro voie;Type voie;Nom voie;Complément numéro voie;Localisation numéro;Parité;Longueur;Largeur;Surface calculée;Signalisation horizontale;Signalisation verticale;Conformité signalisation;Type mobilier;Numéro mobilier;Plage horaire 1-Début;Plage horaire 1-Fin;Plage horaire 2-Début;Plage horaire 2-Fin;Plage horaire 3-Début;Plage horaire 3-Fin;Nouvel identifiant;Ancien identifiant;Code voie Ville de Paris;Numéro séquentiel Tronçon voie;Numéro ilot;Numéro IRIS;Zone ASP;Numéro Section Territoriale de Voirie;Compétence préfecture;Dernière modification;Date du relevé;1er numéro tronçon voie;Dernier numéro tronçon voie;geo_shape;geo_point_2d
LIVRAISON;ZL périodique;Longitudinal;18;1;1;18M;Chaussée;54;RUE DU;SIMPLON;;Droit;Pair;11.6914808;2.0;23.3827061;Présente;Absente;Conforme;;;;;;;;;53820;;8609;750593998;;;18Z4;STV Nord-Ouest;;2025-04-08;2025-04-08;54;54;"{""coordinates"": [2.3466515217315695, 48.89478427260062], ""type"": ""Point""}";48.89478427260062, 2.3466515217315695
LIVRAISON;ZL permanente;Longitudinal;8;1;1;8H;Chaussée;27;AV;MATIGNON;;Droit;Impair;8.82795168;2.0;17.65591596;Présente;Absente;Conforme;;;;;;;;;56921;;6093;1750603311;;;08Z3;STV Nord-Ouest;;2026-01-07;2026-01-07;19;27;"{""coordinates"": [2.3138958546924653, 48.871483152397765], ""type"": ""Point""}";48.871483152397765, 2.3138958546924653
LIVRAISON;ZL permanente;Longitudinal;9;1;1;9E;Demi lincoln;86;RUE D';AMSTERDAM;;Droit;Pair;10.02000129;2.0;20.03957297;Présente;Absente;Conforme;;;;;;;;;54102;;0296;750599961;;;1;STV Centre;;2025-05-20;2023-07-21;80;106;"{""coordinates"": [2.327140008324365, 48.88180868575576], ""type"": ""Point""}";48.88180868575576, 2.327140008324365
LIVRAISON;ZL périodique;Longitudinal;17;2;2;17M;Chaussée;10;PL DE LA;PORTE DE CHAMPERRET;;Droit;Pair;17.91998989;2.0;35.84024193;Présente;Absente;Conforme;;;;;;;;;46504;;7611;750598742;;;17ZD;STV Nord-Ouest;;2022-11-03;2022-09-24;6;12;"{""coordinates"": [2.2903651309192994, 48.88628807386679], ""type"": ""Point""}";48.88628807386679, 2.2903651309192994
LIVRAISON;ZL périodique;Longitudinal;14;1;1;14G;Lincoln;90;BD;JOURDAN;92;Droit;Pair;11.17397768;2.0;22.34739511;Présente;Absente;Conforme;;;;;;;;;40907;;4916;750618657;;;14Z2B;STV Sud;;2021-09-28;2021-04-01;50;100;"{""coordinates"": [2.3274849040342573, 48.82290185089251], ""type"": ""Point""}";48.82290185089251, 2.3274849040342573
LIVRAISON;ZL permanente;Longitudinal;2;2;2;2E;Chaussée;7;RUE;MONSIGNY;;Droit;Impair;19.89331993;2.0;39.78708807;Présente;Absente;Conforme;;;;;;;;;51341;;6372;1750604079;;;02Z1;STV Centre;;2024-05-17;2024-05-17;1;9;"{""coordinates"": [2.3352589681933216, 48.8685284994005], ""type"": ""Point""}";48.8685284994005, 2.3352589681933216
LIVRAISON;ZL périodique;Longitudinal;1;1;1;1E;Lincoln;41;RUE;BERGER;;Droit;Impair;14.49513647;2.0;28.98972213;Présente;Absente;Conforme;;;;;;;;;38734;;0883;1750606587;;;01Z2;STV Centre;;2021-06-11;2020-08-01;41;45;"{""coordinates"": [2.3429880295882497, 48.862064639814385], ""type"": ""Point""}";48.862064639814385, 2.3429880295882497
LIVRAISON;ZL périodique;Longitudinal;14;1;1;14J;Chaussée;8;RUE;SARRETTE;Bis;vis-à-vis;Impair;10.21024772;2.0;20.42090968;Présente;Absente;Conforme;;0;;;;;;;40825;;8468;1750617750;;;14Z2B;STV Sud;;2022-10-05;2022-07-01;1;11;"{""coordinates"": [2.3313988141341477, 48.82723807947903], ""type"": ""Point""}";48.82723807947903, 2.3313988141341477
LIVRAISON;ZL périodique;Longitudinal;17;1;1;17E;Chaussée;15;RUE;BREY;;Droit;Impair;9.90001543;2.0;19.80018195;Présente;Absente;Conforme;;;;;;;;;46447;;1291;1750601566;;;17ZG;STV Nord-Ouest;;2022-10-27;2022-09-23;1;25;"{""coordinates"": [2.295645711003325, 48.876547156016436], ""type"": ""Point""}";48.876547156016436, 2.295645711003325
LIVRAISON;ZL permanente;Longitudinal;15;2;2;15J;Chaussée;230;RUE DE;VAUGIRARD;;Droit;Pair;20.96100708;2.0;41.92181816;Présente;Absente;Conforme;;;;;;;;;40668;;9671;750614002;;;15Z4;STV Sud-Ouest;;2024-09-30;2023-08-09;228;230;"{""coordinates"": [2.304536254217185, 48.84049888047221], ""type"": ""Point""}";48.84049888047221, 2.304536254217185
